]: unknown ByteOrder '@0+' for signal 'StW_Angl' in message 3; defaulting to 1 (Intel).
Warning: Signals[83]: invalid Factor '[-1|2]' for 'ESP_espFaultLamp' in message 309; default 1.0 used.
Warning: Signals[83]: invalid Minimum 'NEO' for 'ESP_espFaultLamp' in message 309; left empty.
Warning: Signals[84]: unknown ByteOrder '@0+' for signal 'ESP_espLampFlash' in message 309; defaulting to 1 (Intel).
Warning: Signals[84]: invalid Factor '[-1|2]' for 'ESP_espLampFlash' in message 309; default 1.0 used.
Warning: Signals[84]: invalid Minimum 'NEO' for 'ESP_espLampFlash' in message 309; left empty.
Warning: Signals[85]: unknown ByteOrder '@0+' for signal 'ESP_hillStartAssistActive' in message 309; defaulting to 1 (Intel).
Warning: Signals[85]: invalid Factor '[-1|4]' for 'ESP_hillStartAssistActive' in message 309; default 1.0 used.
Warning: Signals[85]: invalid Minimum 'NEO' for 'ESP_hillStartAssistActive' in message 309; left empty.
Warning: Signals[86]: unknown ByteOrder '@0+' for signal 'ESP_messagePumpService' in message 309; defaulting to 1 (Intel).
Warning: Signals[86]: invalid Factor '[0|1]' for 'ESP_messagePumpService' in message 309; default 1.0 used.
Warning: Signals[86]: invalid Minimum 'NEO' for 'ESP_messagePumpService' in message 309; left empty.
Warning: Signals[87]: unknown ByteOrder '@0+' for signal 'ESP_messagePumpFailure' in message 309; defaulting to 1 (Intel).
Warning: Signals[87]: invalid Factor '[0|1]' for 'ESP_messagePumpFailure' in message 309; default 1.0 used.
Warning: Signals[87]: invalid Minimum 'NEO' for 'ESP_messagePumpFailure' in message 309; left empty.
Warning: Signals[88]: unknown ByteOrder '@0+' for signal 'ESP_messageEBDFailure' in message 309; defaulting to 1 (Intel).
Warning: Signals[88]: invalid Factor '[0|1]' for 'ESP_messageEBDFailure' in message 309; default 1.0 used.
Warning: Signals[88]: invalid Minimum 'NEO' for 'ESP_messageEBDFailure' in message 309; left empty.
Warning: Signals[89]: unknown ByteOrder '@0+' for signal 'ESP_absFaultLamp' in message 309; defaulting to 1 (Intel).
Warning: Signals[89]: invalid Factor '[-1|2]' for 'ESP_absFaultLamp' in message 309; default 1.0 used.
Warning: Signals[89]: invalid Minimum 'NEO' for 'ESP_absFaultLamp' in message 309; left empty.
Warning: Signals[90]: unknown ByteOrder '@0+' for signal 'ESP_tcDisabledByFault' in message 309; defaulting to 1 (Intel).
Warning: Signals[90]: invalid Factor '[0|1]' for 'ESP_tcDisabledByFault' in message 309; default 1.0 used.
Warning: Signals[90]: invalid Minimum 'NEO' for 'ESP_tcDisabledByFault' in message 309; left empty.
Warning: Signals[91]: unknown ByteOrder '@0+' for signal 'ESP_messageDynoModeActive' in message 309; defaulting to 1 (Intel).
Warning: Signals[91]: invalid Factor '[0|1]' for 'ESP_messageDynoModeActive' in message 309; default 1.0 used.
Warning: Signals[91]: invalid Minimum 'NEO' for 'ESP_messageDynoModeActive' in message 309; left empty.
Warning: Signals[92]: unknown ByteOrder '@0+' for signal 'ESP_hydraulicBoostEnabled' in message 309; defaulting to 1 (Intel).
Warning: Signals[92]: invalid Factor '[0|1]' for 'ESP_hydraulicBoostEnabled' in message 309; default 1.0 used.
Warning: Signals[92]: invalid Minimum 'NEO' for 'ESP_hydraulicBoostEnabled' in message 309; left empty.
Warning: Signals[93]: unknown ByteOrder '@0+' for signal 'ESP_espOffLamp' in message 309; defaulting to 1 (Intel).
Warning: Signals[93]: invalid Factor '[-1|2]' for 'ESP_espOffLamp' in message 309; default 1.0 used.
Warning: Signals[93]: invalid Minimum 'NEO' for 'ESP_espOffLamp' in message 309; left empty.
Warning: Signals[94]: unknown ByteOrder '@0+' for signal 'ESP_stabilityControlSts' in message 309; defaulting to 1 (Intel).
Warning: Signals[94]: invalid Factor '[6|7]' for 'ESP_stabilityControlSts' in message 309; default 1.0 used.
Warning: Signals[94]: invalid Minimum 'NEO' for 'ESP_stabilityControlSts' in message 309; left empty.
Warning: Signals[95]: unknown ByteOrder '@0+' for signal 'ESP_tcLampFlash' in message 309; defaulting to 1 (Intel).
Warning: Signals[95]: invalid Factor '[-1|2]' for 'ESP_tcLampFlash' in message 309; default 1.0 used.
Warning: Signals[95]: invalid Minimum 'NEO' for 'ESP_tcLampFlash' in message 309; left empty.
Warning: Signals[96]: unknown ByteOrder '@0+' for signal 'ESP_tcOffLamp' in message 309; defaulting to 1 (Intel).
Warning: Signals[96]: invalid Factor '[0|1]' for 'ESP_tcOffLamp' in message 309; default 1.0 used.
Warning: Signals[96]: invalid Minimum 'NEO' for 'ESP_tcOffLamp' in message 309; left empty.
Warning: Signals[97]: unknown ByteOrder '@0+' for signal 'ESP_BChecksum' in message 341; defaulting to 1 (Intel).
Warning: Signals[97]: invalid Factor '[0|255]' for 'ESP_BChecksum' in message 341; default 1.0 used.
Warning: Signals[97]: invalid Minimum 'NEO , EPAS' for 'ESP_BChecksum' in message 341; left empty.
Warning: Signals[98]: unknown ByteOrder '@0+' for signal 'ESP_BCounter' in message 341; defaulting to 1 (Intel).
Warning: Signals[98]: invalid Factor '[1|15]' for 'ESP_BCounter' in message 341; default 1.0 used.
Warning: Signals[98]: invalid Minimum 'NEO , EPAS' for 'ESP_BCounter' in message 341; left empty.
Warning: Signals[99]: unknown ByteOrder '@0+' for signal 'ESP_vehicleSpeed' in message 341; defaulting to 1 (Intel).
Warning: Signals[99]: invalid Factor '[0|0]' for 'ESP_vehicleSpeed' in message 341; default 1.0 used.
Warning: Signals[99]: invalid Offset 'kph' for 'ESP_vehicleSpeed' in message 341; default 0.0 used.
Warning: Signals[99]: invalid Minimum 'NEO , EPAS' for 'ESP_vehicleSpeed' in message 341; left empty.
Warning: Signals[100]: unknown ByteOrder '@0+' for signal 'ESP_vehicleSpeedQF' in message 341; defaulting to 1 (Intel).
Warning: Signals[100]: invalid Factor '[1|2]' for 'ESP_vehicleSpeedQF' in message 341; default 1.0 used.
Warning: Signals[100]: invalid Minimum 'NEO , EPAS' for 'ESP_vehicleSpeedQF' in message 341; left empty.
Warning: Signals[101]: unknown ByteOrder '@0+' for signal 'ESP_wheelPulseCountFrL' in message 341; defaulting to 1 (Intel).
Warning: Signals[101]: invalid Factor '[0|254]' for 'ESP_wheelPulseCountFrL' in message 341; default 1.0 used.
Warning: Signals[101]: invalid Minimum 'NEO , EPAS' for 'ESP_wheelPulseCountFrL' in message 341; left empty.
Warning: Signals[102]: unknown ByteOrder '@0+' for signal 'ESP_wheelPulseCountFrR' in message 341; defaulting to 1 (Intel).
Warning: Signals[102]: invalid Factor '[0|254]' for 'ESP_wheelPulseCountFrR' in message 341; default 1.0 used.
Warning: Signals[102]: invalid Minimum 'NEO , EPAS' for 'ESP_wheelPulseCountFrR' in message 341; left empty.
Warning: Signals[103]: unknown ByteOrder '@0+' for signal 'ESP_wheelPulseCountReL' in message 341; defaulting to 1 (Intel).
Warning: Signals[103]: invalid Factor '[0|254]' for 'ESP_wheelPulseCountReL' in message 341; default 1.0 used.
Warning: Signals[103]: invalid Minimum 'NEO , EPAS' for 'ESP_wheelPulseCountReL' in message 341; left empty.
Warning: Signals[104]: unknown ByteOrder '@0+' for signal 'ESP_wheelPulseCountReR' in message 341; defaulting to 1 (Intel).
Warning: Signals[104]: invalid Factor '[0|254]' for 'ESP_wheelPulseCountReR' in message 341; default 1.0 used.
Warning: Signals[104]: invalid Minimum 'NEO , EPAS' for 'ESP_wheelPulseCountReR' in message 341; left empty.
Warning: Signals[105]: unknown ByteOrder '@0+' for signal 'SDM_bcklPassStatus' in message 513; defaulting to 1 (Intel).
Warning: Signals[105]: invalid Factor '[0|3]' for 'SDM_bcklPassStatus' in message 513; default 1.0 used.
Warning: Signals[105]: invalid Minimum 'NEO' for 'SDM_bcklPassStatus' in message 513; left empty.
Warning: Signals[106]: unknown ByteOrder '@0+' for signal 'SDM_bcklDrivStatus' in message 513; defaulting to 1 (Intel).
Warning: Signals[106]: invalid Factor '[0|3]' for 'SDM_bcklDrivStatus' in message 513; default 1.0 used.
Warning: Signals[106]: invalid Minimum 'NEO' for 'SDM_bcklDrivStatus' in message 513; left empty.
Warning: Signals[107]: unknown ByteOrder '@1+' for signal 'driverBrakeStatus' in message 522; defaulting to 1 (Intel).
Warning: Signals[107]: invalid Factor '[0|3]' for 'driverBrakeStatus' in message 522; default 1.0 used.
Warning: Signals[107]: invalid Minimum 'XXX' for 'driverBrakeStatus' in message 522; left empty.
Warning: Signals[108]: unknown ByteOrder '@0+' for signal 'EPB_epasControlChecksum' in message 532; defaulting to 1 (Intel).
Warning: Signals[108]: invalid Factor '[0|255]' for 'EPB_epasControlChecksum' in message 532; default 1.0 used.
Warning: Signals[108]: invalid Minimum 'NEO , EPAS' for 'EPB_epasControlChecksum' in message 532; left empty.
Warning: Signals[109]: unknown ByteOrder '@0+' for signal 'EPB_epasControlCounter' in message 532; defaulting to 1 (Intel).
Warning: Signals[109]: invalid Factor '[0|15]' for 'EPB_epasControlCounter' in message 532; default 1.0 used.
Warning: Signals[109]: invalid Minimum 'NEO , EPAS' for 'EPB_epasControlCounter' in message 532; left empty.
Warning: Signals[110]: unknown ByteOrder '@0+' for signal 'EPB_epasEACAllow' in message 532; defaulting to 1 (Intel).
Warning: Signals[110]: invalid Factor '[4|7]' for 'EPB_epasEACAllow' in message 532; default 1.0 used.
Warning: Signals[110]: invalid Minimum 'NEO , EPAS' for 'EPB_epasEACAllow' in message 532; left empty.
Warning: Signals[111]: unknown ByteOrder '@1+' for signal 'MCU_dasDebugEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[111]: invalid Factor '[0|0]' for 'MCU_dasDebugEnable' in message 536; default 1.0 used.
Warning: Signals[111]: invalid Minimum 'NEO' for 'MCU_dasDebugEnable' in message 536; left empty.
Warning: Signals[112]: unknown ByteOrder '@1+' for signal 'MCU_parkBrakeRequest' in message 536; defaulting to 1 (Intel).
Warning: Signals[112]: invalid Factor '[0|0]' for 'MCU_parkBrakeRequest' in message 536; default 1.0 used.
Warning: Signals[112]: invalid Minimum 'NEO' for 'MCU_parkBrakeRequest' in message 536; left empty.
Warning: Signals[113]: unknown ByteOrder '@1+' for signal 'MCU_trailerModeCH' in message 536; defaulting to 1 (Intel).
Warning: Signals[113]: invalid Factor '[0|0]' for 'MCU_trailerModeCH' in message 536; default 1.0 used.
Warning: Signals[113]: invalid Minimum 'NEO' for 'MCU_trailerModeCH' in message 536; left empty.
Warning: Signals[114]: unknown ByteOrder '@1+' for signal 'MCU_fcwSensitivity' in message 536; defaulting to 1 (Intel).
Warning: Signals[114]: invalid Factor '[0|0]' for 'MCU_fcwSensitivity' in message 536; default 1.0 used.
Warning: Signals[114]: invalid Minimum 'NEO' for 'MCU_fcwSensitivity' in message 536; left empty.
Warning: Signals[115]: unknown ByteOrder '@1+' for signal 'MCU_fcwEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[115]: invalid Factor '[0|0]' for 'MCU_fcwEnable' in message 536; default 1.0 used.
Warning: Signals[115]: invalid Minimum 'NEO' for 'MCU_fcwEnable' in message 536; left empty.
Warning: Signals[116]: unknown ByteOrder '@1+' for signal 'MCU_latControlEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[116]: invalid Factor '[0|0]' for 'MCU_latControlEnable' in message 536; default 1.0 used.
Warning: Signals[116]: invalid Minimum 'NEO' for 'MCU_latControlEnable' in message 536; left empty.
Warning: Signals[117]: unknown ByteOrder '@1+' for signal 'MCU_accOvertakeEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[117]: invalid Factor '[0|0]' for 'MCU_accOvertakeEnable' in message 536; default 1.0 used.
Warning: Signals[117]: invalid Minimum 'NEO' for 'MCU_accOvertakeEnable' in message 536; left empty.
Warning: Signals[118]: unknown ByteOrder '@1+' for signal 'MCU_ldwEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[118]: invalid Factor '[0|0]' for 'MCU_ldwEnable' in message 536; default 1.0 used.
Warning: Signals[118]: invalid Minimum 'NEO' for 'MCU_ldwEnable' in message 536; left empty.
Warning: Signals[119]: unknown ByteOrder '@1+' for signal 'MCU_aebEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[119]: invalid Factor '[0|0]' for 'MCU_aebEnable' in message 536; default 1.0 used.
Warning: Signals[119]: invalid Minimum 'NEO' for 'MCU_aebEnable' in message 536; left empty.
Warning: Signals[120]: unknown ByteOrder '@1+' for signal 'MCU_bsdEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[120]: invalid Factor '[0|0]' for 'MCU_bsdEnable' in message 536; default 1.0 used.
Warning: Signals[120]: invalid Minimum 'NEO' for 'MCU_bsdEnable' in message 536; left empty.
Warning: Signals[121]: unknown ByteOrder '@1+' for signal 'MCU_ahlbEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[121]: invalid Factor '[0|0]' for 'MCU_ahlbEnable' in message 536; default 1.0 used.
Warning: Signals[121]: invalid Minimum 'NEO' for 'MCU_ahlbEnable' in message 536; left empty.
Warning: Signals[122]: unknown ByteOrder '@1+' for signal 'MCU_parkSetting' in message 536; defaulting to 1 (Intel).
Warning: Signals[122]: invalid Factor '[0|0]' for 'MCU_parkSetting' in message 536; default 1.0 used.
Warning: Signals[122]: invalid Minimum 'NEO' for 'MCU_parkSetting' in message 536; left empty.
Warning: Signals[123]: unknown ByteOrder '@1+' for signal 'MCU_pedalSafetyEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[123]: invalid Factor '[0|0]' for 'MCU_pedalSafetyEnable' in message 536; default 1.0 used.
Warning: Signals[123]: invalid Minimum 'NEO' for 'MCU_pedalSafetyEnable' in message 536; left empty.
Warning: Signals[124]: unknown ByteOrder '@1+' for signal 'MCU_frontDefrostReq_das' in message 536; defaulting to 1 (Intel).
Warning: Signals[124]: invalid Factor '[0|0]' for 'MCU_frontDefrostReq_das' in message 536; default 1.0 used.
Warning: Signals[124]: invalid Minimum 'NEO' for 'MCU_frontDefrostReq_das' in message 536; left empty.
Warning: Signals[125]: unknown ByteOrder '@1+' for signal 'MCU_autoParkRequest' in message 536; defaulting to 1 (Intel).
Warning: Signals[125]: invalid Factor '[0|0]' for 'MCU_autoParkRequest' in message 536; default 1.0 used.
Warning: Signals[125]: invalid Minimum 'NEO' for 'MCU_autoParkRequest' in message 536; left empty.
Warning: Signals[126]: unknown ByteOrder '@1+' for signal 'MCU_redLightStopSignEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[126]: invalid Factor '[0|0]' for 'MCU_redLightStopSignEnable' in message 536; default 1.0 used.
Warning: Signals[126]: invalid Minimum 'NEO' for 'MCU_redLightStopSignEnable' in message 536; left empty.
Warning: Signals[127]: unknown ByteOrder '@1+' for signal 'MCU_enableCreepTorqueCH' in message 536; defaulting to 1 (Intel).
Warning: Signals[127]: invalid Factor '[0|0]' for 'MCU_enableCreepTorqueCH' in message 536; default 1.0 used.
Warning: Signals[127]: invalid Minimum 'NEO' for 'MCU_enableCreepTorqueCH' in message 536; left empty.
Warning: Signals[128]: unknown ByteOrder '@1+' for signal 'MCU_narrowGarages' in message 536; defaulting to 1 (Intel).
Warning: Signals[128]: invalid Factor '[0|0]' for 'MCU_narrowGarages' in message 536; default 1.0 used.
Warning: Signals[128]: invalid Minimum 'NEO' for 'MCU_narrowGarages' in message 536; left empty.
Warning: Signals[129]: unknown ByteOrder '@1+' for signal 'MCU_rebootAutopilot' in message 536; defaulting to 1 (Intel).
Warning: Signals[129]: invalid Factor '[0|0]' for 'MCU_rebootAutopilot' in message 536; default 1.0 used.
Warning: Signals[129]: invalid Minimum 'NEO' for 'MCU_rebootAutopilot' in message 536; left empty.
Warning: Signals[130]: unknown ByteOrder '@1+' for signal 'MCU_enableAutowipers' in message 536; defaulting to 1 (Intel).
Warning: Signals[130]: invalid Factor '[0|0]' for 'MCU_enableAutowipers' in message 536; default 1.0 used.
Warning: Signals[130]: invalid Minimum 'NEO' for 'MCU_enableAutowipers' in message 536; left empty.
Warning: Signals[131]: unknown ByteOrder '@1+' for signal 'MCU_overPaintedUSS' in message 536; defaulting to 1 (Intel).
Warning: Signals[131]: invalid Factor '[0|0]' for 'MCU_overPaintedUSS' in message 536; default 1.0 used.
Warning: Signals[131]: invalid Minimum 'NEO' for 'MCU_overPaintedUSS' in message 536; left empty.
Warning: Signals[132]: unknown ByteOrder '@1+' for signal 'MCU_selfParkTune' in message 536; defaulting to 1 (Intel).
Warning: Signals[132]: invalid Factor '[0|15]' for 'MCU_selfParkTune' in message 536; default 1.0 used.
Warning: Signals[132]: invalid Minimum 'NEO' for 'MCU_selfParkTune' in message 536; left empty.
Warning: Signals[133]: unknown ByteOrder '@1+' for signal 'MCU_towModeEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[133]: invalid Factor '[0|0]' for 'MCU_towModeEnable' in message 536; default 1.0 used.
Warning: Signals[133]: invalid Minimum 'NEO' for 'MCU_towModeEnable' in message 536; left empty.
Warning: Signals[134]: unknown ByteOrder '@1+' for signal 'MCU_zeroSpeedConfirmed' in message 536; defaulting to 1 (Intel).
Warning: Signals[134]: invalid Factor '[0|0]' for 'MCU_zeroSpeedConfirmed' in message 536; default 1.0 used.
Warning: Signals[134]: invalid Minimum 'NEO' for 'MCU_zeroSpeedConfirmed' in message 536; left empty.
Warning: Signals[135]: unknown ByteOrder '@1+' for signal 'MCU_aesEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[135]: invalid Factor '[0|0]' for 'MCU_aesEnable' in message 536; default 1.0 used.
Warning: Signals[135]: invalid Minimum 'NEO' for 'MCU_aesEnable' in message 536; left empty.
Warning: Signals[136]: unknown ByteOrder '@1+' for signal 'MCU_autoLaneChangeEnable' in message 536; defaulting to 1 (Intel).
Warning: Signals[136]: invalid Factor '[0|0]' for 'MCU_autoLaneChangeEnable' in message 536; default 1.0 used.
Warning: Signals[136]: invalid Minimum 'NEO' for 'MCU_autoLaneChangeEnable' in message 536; left empty.
Warning: Signals[137]: unknown ByteOrder '@1+' for signal 'MCU_chassisControlCounter' in message 536; defaulting to 1 (Intel).
Warning: Signals[137]: invalid Factor '[0|0]' for 'MCU_chassisControlCounter' in message 536; default 1.0 used.
Warning: Signals[137]: invalid Minimum 'NEO' for 'MCU_chassisControlCounter' in message 536; left empty.
Warning: Signals[138]: unknown ByteOrder '@1+' for signal 'MCU_chassisControlChecksum' in message 536; defaulting to 1 (Intel).
Warning: Signals[138]: invalid Factor '[0|0]' for 'MCU_chassisControlChecksum' in message 536; default 1.0 used.
Warning: Signals[138]: invalid Minimum 'NEO' for 'MCU_chassisControlChecksum' in message 536; left empty.
Warning: Signals[139]: unknown ByteOrder '@1+' for signal 'UI_roadSign' in message 568; defaulting to 1 (Intel).
Warning: Signals[139]: invalid Factor '[0|0]' for 'UI_roadSign' in message 568; default 1.0 used.
Warning: Signals[139]: invalid Minimum 'DAS' for 'UI_roadSign' in message 568; left empty.
Warning: Signals[140]: unknown ByteOrder '@1+' for signal 'UI_splineLocConfidence' in message 568; defaulting to 1 (Intel).
Warning: Signals[140]: invalid Factor '[0|100]' for 'UI_splineLocConfidence' in message 568; default 1.0 used.
Warning: Signals[140]: invalid Minimum 'DAS' for 'UI_splineLocConfidence' in message 568; left empty.
Warning: Signals[141]: unknown ByteOrder '@1+' for signal 'UI_splineID' in message 568; defaulting to 1 (Intel).
Warning: Signals[141]: invalid Factor '[0|15]' for 'UI_splineID' in message 568; default 1.0 used.
Warning: Signals[141]: invalid Minimum 'Vector__XXX' for 'UI_splineID' in message 568; left empty.
Warning: Signals[142]: unknown ByteOrder '@1+' for signal 'UI_roadSignCounter' in message 568; defaulting to 1 (Intel).
Warning: Signals[142]: invalid Factor '[0|0]' for 'UI_roadSignCounter' in message 568; default 1.0 used.
Warning: Signals[142]: invalid Minimum 'Vector__XXX' for 'UI_roadSignCounter' in message 568; left empty.
Warning: Signals[143]: unknown ByteOrder '@1+' for signal 'UI_roadSignChecksum' in message 568; defaulting to 1 (Intel).
Warning: Signals[143]: invalid Factor '[0|0]' for 'UI_roadSignChecksum' in message 568; default 1.0 used.
Warning: Signals[143]: invalid Minimum 'Vector__XXX' for 'UI_roadSignChecksum' in message 568; left empty.
Warning: Signals[144]: unknown ByteOrder '@1+' for signal 'UI_dummyData' in message 568; defaulting to 1 (Intel).
Warning: Signals[144]: invalid Factor '[0|0]' for 'UI_dummyData' in message 568; default 1.0 used.
Warning: Signals[144]: invalid Minimum 'Vector__XXX' for 'UI_dummyData' in message 568; left empty.
Warning: Signals[145]: unknown ByteOrder '@1+' for signal 'UI_stopSignStopLineDist' in message 568; defaulting to 1 (Intel).
Warning: Signals[145]: invalid Factor '[-8|247.5]' for 'UI_stopSignStopLineDist' in message 568; default 1.0 used.
Warning: Signals[145]: invalid Offset 'm' for 'UI_stopSignStopLineDist' in message 568; default 0.0 used.
Warning: Signals[145]: invalid Minimum 'Vector__XXX' for 'UI_stopSignStopLineDist' in message 568; left empty.
Warning: Signals[146]: unknown ByteOrder '@1+' for signal 'UI_stopSignStopLineConf' in message 568; defaulting to 1 (Intel).
Warning: Signals[146]: invalid Factor '[0|100]' for 'UI_stopSignStopLineConf' in message 568; default 1.0 used.
Warning: Signals[146]: invalid Minimum 'Vector__XXX' for 'UI_stopSignStopLineConf' in message 568; left empty.
Warning: Signals[147]: unknown ByteOrder '@1+' for signal 'UI_trafficLightStopLineDist' in message 568; defaulting to 1 (Intel).
Warning: Signals[147]: invalid Factor '[-8|247.5]' for 'UI_trafficLightStopLineDist' in message 568; default 1.0 used.
Warning: Signals[147]: invalid Offset 'm' for 'UI_trafficLightStopLineDist' in message 568; default 0.0 used.
Warning: Signals[147]: invalid Minimum 'Vector__XXX' for 'UI_trafficLightStopLineDist' in message 568; left empty.
Warning: Signals[148]: unknown ByteOrder '@1+' for signal 'UI_trafficLightStopLineConf' in message 568; defaulting to 1 (Intel).
Warning: Signals[148]: invalid Factor '[0|100]' for 'UI_trafficLightStopLineConf' in message 568; default 1.0 used.
Warning: Signals[148]: invalid Minimum 'Vector__XXX' for 'UI_trafficLightStopLineConf' in message 568; left empty.
Warning: Signals[149]: unknown ByteOrder '@1+' for signal 'UI_baseMapSpeedLimitMPS' in message 568; defaulting to 1 (Intel).
Warning: Signals[149]: invalid Factor '[0|63.75]' for 'UI_baseMapSpeedLimitMPS' in message 568; default 1.0 used.
Warning: Signals[149]: invalid Offset 'm/s' for 'UI_baseMapSpeedLimitMPS' in message 568; default 0.0 used.
Warning: Signals[149]: invalid Minimum 'DAS' for 'UI_baseMapSpeedLimitMPS' in message 568; left empty.
Warning: Signals[150]: unknown ByteOrder '@1+' for signal 'UI_bottomQrtlFleetSpeedMPS' in message 568; defaulting to 1 (Intel).
Warning: Signals[150]: invalid Factor '[0|63.75]' for 'UI_bottomQrtlFleetSpeedMPS' in message 568; default 1.0 used.
Warning: Signals[150]: invalid Offset 'm/s' for 'UI_bottomQrtlFleetSpeedMPS' in message 568; default 0.0 used.
Warning: Signals[150]: invalid Minimum 'DAS' for 'UI_bottomQrtlFleetSpeedMPS' in message 568; left empty.
Warning: Signals[151]: unknown ByteOrder '@1+' for signal 'UI_topQrtlFleetSpeedMPS' in message 568; defaulting to 1 (Intel).
Warning: Signals[151]: invalid Factor '[0|63.75]' for 'UI_topQrtlFleetSpeedMPS' in message 568; default 1.0 used.
Warning: Signals[151]: invalid Offset 'm/s' for 'UI_topQrtlFleetSpeedMPS' in message 568; default 0.0 used.
Warning: Signals[151]: invalid Minimum 'DAS' for 'UI_topQrtlFleetSpeedMPS' in message 568; left empty.
Warning: Signals[152]: unknown ByteOrder '@1+' for signal 'UI_meanFleetSplineSpeedMPS' in message 568; defaulting to 1 (Intel).
Warning: Signals[152]: invalid Factor '[0|63.75]' for 'UI_meanFleetSplineSpeedMPS' in message 568; default 1.0 used.
Warning: Signals[152]: invalid Offset 'm/s' for 'UI_meanFleetSplineSpeedMPS' in message 568; default 0.0 used.
Warning: Signals[152]: invalid Minimum 'DAS' for 'UI_meanFleetSplineSpeedMPS' in message 568; left empty.
Warning: Signals[153]: unknown ByteOrder '@1+' for signal 'UI_medianFleetSpeedMPS' in message 568; defaulting to 1 (Intel).
Warning: Signals[153]: invalid Factor '[0|63.75]' for 'UI_medianFleetSpeedMPS' in message 568; default 1.0 used.
Warning: Signals[153]: invalid Offset 'm/s' for 'UI_medianFleetSpeedMPS' in message 568; default 0.0 used.
Warning: Signals[153]: invalid Minimum 'DAS' for 'UI_medianFleetSpeedMPS' in message 568; left empty.
Warning: Signals[154]: unknown ByteOrder '@1+' for signal 'UI_meanFleetSplineAccelMPS2' in message 568; defaulting to 1 (Intel).
Warning: Signals[154]: invalid Factor '[-6.35|6.4]' for 'UI_meanFleetSplineAccelMPS2' in message 568; default 1.0 used.
Warning: Signals[154]: invalid Offset 'm/s^2' for 'UI_meanFleetSplineAccelMPS2' in message 568; default 0.0 used.
Warning: Signals[154]: invalid Minimum 'DAS' for 'UI_meanFleetSplineAccelMPS2' in message 568; left empty.
Warning: Signals[155]: unknown ByteOrder '@1+' for signal 'UI_rampType' in message 568; defaulting to 1 (Intel).
Warning: Signals[155]: invalid Factor '[0|7]' for 'UI_rampType' in message 568; default 1.0 used.
Warning: Signals[155]: invalid Minimum 'DAS' for 'UI_rampType' in message 568; left empty.
Warning: Signals[156]: unknown ByteOrder '@1+' for signal 'UI_currSplineIdFull' in message 568; defaulting to 1 (Intel).
Warning: Signals[156]: invalid Factor '[0|1]' for 'UI_currSplineIdFull' in message 568; default 1.0 used.
Warning: Signals[156]: invalid Minimum 'APP' for 'UI_currSplineIdFull' in message 568; left empty.
Warning: Signals[157]: unknown ByteOrder '@1-' for signal 'UI_solarAzimuthAngle' in message 582; defaulting to 1 (Intel).
Warning: Signals[157]: invalid Factor '[0|360]' for 'UI_solarAzimuthAngle' in message 582; default 1.0 used.
Warning: Signals[157]: invalid Offset 'deg' for 'UI_solarAzimuthAngle' in message 582; default 0.0 used.
Warning: Signals[157]: invalid Minimum 'APP' for 'UI_solarAzimuthAngle' in message 582; left empty.
Warning: Signals[158]: unknown ByteOrder '@1-' for signal 'UI_solarAzimuthAngleCarRef' in message 582; defaulting to 1 (Intel).
Warning: Signals[158]: invalid Factor '[-180|180]' for 'UI_solarAzimuthAngleCarRef' in message 582; default 1.0 used.
Warning: Signals[158]: invalid Offset 'deg' for 'UI_solarAzimuthAngleCarRef' in message 582; default 0.0 used.
Warning: Signals[158]: invalid Minimum 'APP' for 'UI_solarAzimuthAngleCarRef' in message 582; left empty.
Warning: Signals[159]: unknown ByteOrder '@1+' for signal 'UI_isSunUp' in message 582; defaulting to 1 (Intel).
Warning: Signals[159]: invalid Factor '[0|0]' for 'UI_isSunUp' in message 582; default 1.0 used.
Warning: Signals[159]: invalid Minimum 'Vector__XXX' for 'UI_isSunUp' in message 582; left empty.
Warning: Signals[160]: unknown ByteOrder '@1-' for signal 'UI_solarElevationAngle' in message 582; defaulting to 1 (Intel).
Warning: Signals[160]: invalid Factor '[-90|90]' for 'UI_solarElevationAngle' in message 582; default 1.0 used.
Warning: Signals[160]: invalid Offset 'deg' for 'UI_solarElevationAngle' in message 582; default 0.0 used.
Warning: Signals[160]: invalid Minimum 'APP' for 'UI_solarElevationAngle' in message 582; left empty.
Warning: Signals[161]: unknown ByteOrder '@0+' for signal 'AirTemp_Insd' in message 643; defaulting to 1 (Intel).
Warning: Signals[161]: invalid Factor '[0|63.5]' for 'AirTemp_Insd' in message 643; default 1.0 used.
Warning: Signals[161]: invalid Offset 'C' for 'AirTemp_Insd' in message 643; default 0.0 used.
Warning: Signals[161]: invalid Minimum 'NEO' for 'AirTemp_Insd' in message 643; left empty.
